Date, Open , High , Low , Close ,Adj Close,Volume
9/8/2011,4.72,4.81,4.66,4.72,4.72,2528500.00
9/9/2011,4.67,4.71,4.51,4.59,4.59,3346500.00
9/12/2011,4.50,4.66,4.49,4.58,4.58,2833000.00
9/13/2011,4.60,4.82,4.55,4.82,4.82,3632500.00
9/14/2011,4.85,4.97,4.76,4.87,4.87,4154000.00
9/15/2011,4.92,4.99,4.87,4.96,4.96,2813000.00
9/16/2011,4.96,5.17,4.90,5.16,5.16,7085500.00
9/19/2011,4.99,5.16,4.76,5.15,5.15,5787000.00
9/20/2011,5.20,5.32,5.13,5.20,5.20,5902000.00
9/21/2011,5.19,5.39,5.14,5.17,5.17,4938000.00
9/22/2011,5.13,5.22,4.98,5.13,5.13,3879000.00
9/23/2011,5.10,5.32,5.07,5.28,5.28,5782000.00
9/26/2011,5.30,5.30,4.98,5.10,5.10,4674000.00
9/27/2011,5.20,5.40,5.11,5.24,5.24,3372500.00
9/28/2011,5.20,5.30,4.90,4.92,4.92,3616500.00
9/29/2011,5.14,5.16,4.71,4.82,4.82,4648000.00
9/30/2011,4.96,4.98,4.70,4.88,4.88,6680500.00
10/3/2011,4.99,5.00,4.65,4.75,4.75,5116000.00
10/4/2011,4.66,4.86,4.59,4.73,4.73,6001500.00
10/5/2011,4.81,5.17,4.67,5.07,5.07,6147500.00
10/6/2011,5.07,5.52,5.00,5.39,5.39,8845500.00
10/7/2011,5.40,5.52,5.21,5.40,5.40,6558000.00
10/10/2011,5.46,5.64,5.40,5.58,5.58,4617500.00
10/11/2011,5.50,5.55,5.42,5.52,5.52,2878500.00
10/12/2011,5.45,5.60,5.44,5.56,5.56,5617000.00
10/13/2011,5.53,5.69,5.49,5.59,5.59,5217500.00
10/14/2011,5.60,5.71,5.45,5.61,5.61,7002500.00
10/17/2011,5.57,5.60,5.45,5.48,5.48,3772500.00
10/18/2011,5.46,5.69,5.34,5.67,5.67,4998500.00
10/19/2011,5.60,5.61,5.46,5.51,5.51,3964500.00
10/20/2011,5.49,5.49,5.40,5.47,5.47,4998500.00
10/21/2011,5.48,5.66,5.40,5.61,5.61,5713000.00
10/24/2011,5.57,5.78,5.55,5.71,5.71,4703000.00
10/25/2011,5.65,5.77,5.56,5.65,5.65,3272000.00
10/26/2011,5.64,5.67,5.48,5.60,5.60,2552500.00
10/27/2011,5.67,5.79,5.62,5.75,5.75,4347000.00
10/28/2011,5.70,6.00,5.60,5.97,5.97,6320000.00
10/31/2011,5.90,5.90,5.75,5.87,5.87,5670000.00
11/1/2011,5.68,5.78,5.60,5.78,5.78,3176000.00
11/2/2011,5.80,5.85,5.65,5.74,5.74,4376500.00
11/3/2011,6.00,6.50,5.91,6.49,6.49,12548500.00
